support_tick_id,support_ticket_text,category,tags,priority,suggested_eta,generated_1st_reply
ST2023-006,"My internet connection has significantly slowed down over the past two days, making it challenging to work efficiently from home. Frequent disconnections are causing major disruptions. Please assist in resolving this connectivity issue promptly.",Technical Issue,['Internet Connection'],High,24 hours,We apologize for the inconvenience caused by your slow internet connection. Our technical team is working to resolve the issue as soon as possible.
ST2023-007,"Urgent help required! My laptop refuses to start, and I have a crucial presentation scheduled for tomorrow. I've attempted a restart, but it hasn't worked. Please provide immediate assistance to resolve this hardware issue",Technical Issue,"['Technical', 'Hardware', 'Urgent']",High,2-3 hours,I understand the urgency of your request and am here to assist you with resolving the technical issue. Please provide me with more details so I can better understand the problem and offer a solution as soon as possible.
ST2023-008,"I've accidentally deleted essential work documents, causing substantial data loss. I understand the need to avoid further actions on my device. Can you please prioritize the data recovery process and guide me through it?",Data Recovery,"['deleted files', 'data loss']",High,24-48 hours,I apologize for the inconvenience caused by the data loss. We understand the importance of recovering your essential work documents. Our team will prioritize the data recovery process and guide you through it.
ST2023-009,"Despite being in close proximity to my Wi-Fi router, the signal remains persistently weak in my home. This issue has been ongoing, and I need assistance troubleshooting it. Please help me resolve the weak Wi-Fi signal problem.",Technical Issue,"['Wi-Fi', 'signal strength']",High,24 hours,"Thank you for reaching out to us. Based on the information provided, it appears that your Wi-Fi signal is weak in certain areas of your home. We recommend checking the placement and positioning of your router to ensure optimal coverage. Additionally, you may want to consider upgrading to a range extender or mesh network system to improve connectivity throughout your home."
ST2023-010,"My smartphone battery is draining rapidly, even with minimal use. Can you help me identify and rectify this battery issue?",Technical Issue,"['smartphone', 'battery', 'draining']",High,24 hours,"Thank you for reaching out to us. Based on the information provided, it seems like your smartphone's battery is draining rapidly, even with minimal use. We recommend trying a hard reset and checking if any software updates are available for your device."
ST2023-011,I'm locked out of my online banking account and need immediate assistance in resetting my password for an urgent transaction.,Technical Issue,"['password reset', 'online banking']",High,1-2 business days,Thank you for reaching out to us. We apologize for any inconvenience this has caused and will assist you with resetting your password as soon as possible.
ST2023-012,"My computer's performance is sluggish, severely impacting my work. I need help optimizing it to regain productivity.",Technical Issue,"['software issue', 'application error']",High,2 hours,Thank you for reaching out to us. We apologize for the inconvenience you're experiencing with your software. Our team is working on a solution and we estimate it will be resolved within 2 hours.
ST2023-013,"I'm experiencing a recurring blue screen error on my PC, causing frequent crashes. Help me diagnose and resolve this hardware issue.",Hardware Issue,"['Computer Crashes', 'Blue Screen of Death']",High,24-48 hours,"Thank you for reaching out to us. Based on the information provided, it appears that your computer is experiencing a hardware issue causing frequent blue screens. We recommend running a diagnostic test to identify the root cause of the problem and provide a solution."
ST2023-014,My external hard drive isn't being recognized by my computer. I need assistance recovering vital data stored on it.,Data Recovery,"['External Hard Drive', 'Not Recognized']",High,24-48 hours,I understand that your external hard drive is not being recognized by your computer. I'll assist you with recovering the vital data stored on it.
ST2023-015,"The graphics card in my gaming laptop seems to be malfunctioning, causing poor gaming performance. Can you assist in diagnosing and fixing this hardware issue?",Hardware Issue,"['Graphics Card', 'Gaming Laptop']",High,2-3 business days,"Thank you for reaching out to us with your hardware issue. Based on the information provided, it appears that your graphics card may be malfunctioning and causing poor gaming performance. We recommend troubleshooting the following steps to potentially resolve the issue: [list of troubleshooting steps]. If these steps do not resolve the issue, we can assist you with further support or provide a replacement if necessary."
ST2023-016,I accidentally formatted my USB drive with critical work files. Can you guide me through the data recovery process to retrieve these files?,Data Recovery,"['USB Drive', 'Critical Work Files']",High,24-48 hours,I understand that you have accidentally formatted your USB drive with critical work files. I can guide you through the data recovery process to retrieve these files.
ST2023-017,"My computer's screen has gone black, and I can't seem to fix it. Urgent assistance needed to get it up and running.",Technical Issue,"['Computer Hardware', 'Screen Display']",High,24 hours,"We apologize for the inconvenience, and we'll do our best to assist you with your technical issue. Can you please provide more details about the black screen display? Have you tried restarting your computer or checking the display settings?"
